origen,dest,tram,linia,type,length,speed,time,directed,geometry
M-L1-111,M-L1-112,Hospital de Bellvitge - Bellvitge,L1,Metro,882.2097429703526,6.944444444444445,02:07,False,"MULTILINESTRING ((2.1072419200000003 41.344677309999994, 2.10773411 41.345012069999996, 2.10809745 41.345270929999984, 2.10844735 41.3455401, 2.1087031900000004 41.34575063, 2.10891938 41.34593358000001, 2.1092662400000006 41.34621340000001, 2.1096269900000006 41.34648309000001, 2.11000111 41.34674222000001, 2.11120807 41.347538369999995, 2.11126628 41.34757941, 2.1113301900000003 41.3476276, 2.11145633 41.347730350000006, 2.1115889800000005 41.34785836, 2.11170587 41.34799482, 2.11180606 41.34813862, 2.11188873 41.34828862, 2.1119532399999996 41.34844360000001, 2.11199905 41.348602310000004, 2.1120257999999996 41.348763469999994, 2.11203326 41.34892579, 2.1120213899999998 41.34908795999999, 2.1119902700000006 41.349248689999996, 2.1119401700000004 41.34940665, 2.11187146 41.349560600000004, 2.1117938600000006 41.349699640000004, 2.1117761499999994 41.349727879999996, 2.1114426 41.35021522, 2.110917 41.35097553999999))"
M-L1-112,M-L1-113,Bellvitge - Av. Carrilet,L1,Metro,1133.6548626663975,6.944444444444445,02:43,False,"MULTILINESTRING ((2.110917 41.35097553999999, 2.11052226 41.35154431, 2.11044319 41.35164953999999, 2.1103638499999997 41.35174096000001, 2.1102908899999995 41.351817439999984, 2.1101531100000006 41.35194241, 2.11000082 41.35205742, 2.1098352799999995 41.35216152, 2.10971237 41.352227369999994, 2.1096577299999995 41.35225453, 2.10947246 41.35233601000001, 2.10740377 41.35310457, 2.10702679 41.35325088, 2.10679973 41.353347060000004, 2.1066504300000006 41.353417329999985, 2.1064012199999995 41.35354816, 2.10616354 41.35369063, 2.10593831 41.35384417, 2.1057264600000005 41.35400815999999, 2.10552884 41.35418195, 2.1053462400000003 41.35436483, 2.10521856 41.354508759999995, 2.10518605 41.35454880000001, 2.10498102 41.3548172, 2.1039440100000006 41.35630113999999, 2.10344566 41.35701164000001, 2.1033910200000006 41.35708643000001, 2.10321933 41.35734104, 2.1030651200000006 41.35760192, 2.10292879 41.3578684, 2.1026315300000005 41.35855330999999))"
M-L1-113,M-L1-114,Av. Carrilet - Rambla Just Oliveras,L1,Metro,660.8559170557209,6.944444444444445,01:35,False,"MULTILINESTRING ((2.1026315300000005 41.35855330999999, 2.102016050000001 41.359965, 2.1018511200000005 41.36030030999999, 2.10166828 41.3606303, 2.10016742 41.36322378999999, 2.10010176 41.363340459999996, 2.0999559199999998 41.36362595000001, 2.09989051 41.36376897, 2.0997493400000002 41.36408990999999))"
M-L1-114,M-L1-115,Rambla Just Oliveras - Can Serra,L1,Metro,572.3301538520466,6.944444444444445,01:22,False,"MULTILINESTRING ((2.0997493400000002 41.36408990999999, 2.0994625800000004 41.364741769999995, 2.0994197799999994 41.364848810000005, 2.09938219 41.36496697, 2.09936009 41.365049979999995, 2.099328870000001 41.36521961999999, 2.0993168700000004 41.36539063000001, 2.0993241600000005 41.36556179999999, 2.09935069 41.36573189, 2.0993962800000006 41.36589966999999, 2.0994605900000005 41.366063929999996, 2.099543150000001 41.36622348, 2.09964338 41.3663772, 2.0997605499999996 41.36652394000001, 2.09989383 41.36666267999999, 2.10004224 41.36679241, 2.10020472 41.366912179999986, 2.1003801000000006 41.36702115, 2.10056711 41.367118510000005, 2.1007644100000005 41.36720357999999, 2.1009342499999994 41.36726417, 2.10102822 41.36729445999998, 2.10124365 41.36735369000001, 2.1027575200000004 41.36769401))"
M-L1-115,M-L1-116,Can Serra - Florida,L1,Metro,616.6711980676818,6.944444444444445,01:28,False,"MULTILINESTRING ((2.1027575200000004 41.36769401, 2.10381341 41.367930390000005, 2.10477541 41.36814377, 2.1050695700000004 41.368199960000005, 2.10516005 41.3682143, 2.10526194 41.36822881, 2.1055252300000005 41.36825609, 2.10559149 41.36826089, 2.10589445 41.36827412000001, 2.10597151 41.36827517, 2.1087381299999994 41.36829612, 2.10915936 41.36830118999999, 2.1100273699999996 41.36831605))"
M-L1-116,M-L1-117,Florida - Torrassa,L1,Metro,549.2698416555919,6.944444444444445,01:19,False,"MULTILINESTRING ((2.1100273699999996 41.36831605, 2.11117155 41.36833438, 2.1165937900000005 41.36839566))"
M-L1-117,M-L1-118,Torrassa - Santa Eulàlia,L1,Metro,1031.0458033437797,6.944444444444445,02:28,False,"MULTILINESTRING ((2.1165937900000005 41.36839566, 2.1181193 41.36841142000001, 2.1192612400000006 41.36842989000001, 2.1208245599999995 41.368443490000004, 2.1211574900000003 41.36843874, 2.12148948 41.36841941, 2.12181943 41.368385569999994, 2.1221462 41.368337329999996, 2.12227951 41.36831334, 2.12367402 41.36804895000001, 2.1238430100000003 41.36801908999999, 2.1241594799999994 41.367974620000005, 2.1244788900000002 41.36794448999999, 2.124800120000001 41.367928809999995, 2.1249977300000005 41.36792533999999, 2.12530111 41.36793127999999, 2.1256033700000003 41.36795169, 2.125903309999999 41.36798651000001, 2.12619973 41.36803558, 2.1263087999999994 41.36805732999999, 2.12643363 41.36808372, 2.1267884999999995 41.36816896, 2.1271370299999997 41.36826795999999, 2.127289150000001 41.36831614999999, 2.12751775 41.36839098, 2.12790677 41.368527660000005, 2.12816747 41.368627540000006, 2.1285194 41.368772959999994, 2.1286172100000003 41.36881645))"
M-L1-118,M-L1-119,Santa Eulàlia - Mercat Nou,L1,Metro,629.3851244089102,6.944444444444445,01:30,False,"MULTILINESTRING ((2.1286172100000003 41.36881645, 2.12975043 41.36932905000001, 2.12982549 41.369365949999995, 2.1299851100000002 41.36945176999999, 2.1301752699999996 41.36956705, 2.13032099 41.369668319999995, 2.13046771 41.36978627999999, 2.1306126299999995 41.36992236, 2.13065255 41.36996257, 2.13234192 41.37176999999999, 2.13258956 41.37202434, 2.1329612600000005 41.37238951999999, 2.13313273 41.37256217, 2.13338729 41.37283546999999, 2.1335369900000005 41.373004050000006))"
M-L1-119,M-L1-120,Mercat Nou - Plaça de Sants,L1,Metro,504.05404841842613,6.944444444444445,01:12,False,"MULTILINESTRING ((2.13353578 41.3730027, 2.1338496800000004 41.37335208999999, 2.13410803 41.373655480000004, 2.1342698100000006 41.37385885999999, 2.1344232900000004 41.37404316999999, 2.1346768100000006 41.37432045999999, 2.1347636699999994 41.37441077999999, 2.13492926 41.37456372999999, 2.135001 41.3746236, 2.1350944200000006 41.374696199999995, 2.13519732 41.37476817, 2.13531918 41.37484666999999, 2.1355015400000004 41.37494766, 2.1356947599999994 41.375036479999984, 2.13579578 41.3750776, 2.13596803 41.37514091, 2.13611096 41.37518412, 2.1362089200000005 41.37521101000001, 2.13635773 41.375248799999994, 2.13659957 41.375297660000015, 2.13680247 41.37532725, 2.13689841 41.37533863000001, 2.13714736 41.37535874999999, 2.13723536 41.37536236, 2.1374692500000005 41.37536547999999, 2.1381539300000005 41.37535307000001))"
M-L1-120,M-L1-121,Plaça de Sants - Hostafrancs,L1,Metro,429.67859232329124,6.944444444444445,01:01,False,"MULTILINESTRING ((2.1381539300000005 41.37535307000001, 2.14329021 41.37525363999999))"
